BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,rowguid,ModifiedDate,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
1699,IN,0,Mr.,David,R.,Robinett,NULL,1,NULL,7893c62d-9940-4db8-90d4-ea0ccd9f6731,2013-07-31 00:00:00.000,1961-02-23 00:00:00.000,M,41272,M,4,Graduate Degree,Clerical,1,5
1700,IN,0,Ms.,Rebecca,A.,Robinson,NULL,0,NULL,1b81ef06-05c2-4d27-960f-4455938cb255,2014-05-05 00:00:00.000,1965-06-11 00:00:00.000,M,67521,F,3,"Bachelors ",Professional,1,10
1701,IN,0,Ms.,Dorothy,B.,Robinson,NULL,2,NULL,fed4a110-8137-4aa5-8b27-a15b4147d7c4,2012-03-06 00:00:00.000,1954-09-23 00:00:00.000,S,94465,M,2,Partial College,Skilled Manual,0,2
1702,IN,0,Ms.,Carol Ann,F.,Rockne,NULL,0,NULL,1dcfaba9-41f7-4c95-8cf4-7c9fba398c6b,2011-09-26 00:00:00.000,1943-07-15 00:00:00.000,M,57132,M,1,"Bachelors ",Clerical,1,0
1703,IN,0,Mr.,Scott,M.,Rodgers,NULL,0,NULL,77c57b30-2394-4548-8246-3bec69366142,2012-03-17 00:00:00.000,1968-05-15 00:00:00.000,M,85093,M,2,"Bachelors ",Professional,1,1
1704,IN,0,Mr.,Jim,NULL,Rodman,NULL,0,NULL,9f34a44b-148d-4a90-8e3d-824f786f995f,2012-01-14 00:00:00.000,1955-09-13 00:00:00.000,M,108050,F,3,Partial College,Professional,1,3
1705,IN,0,Mr.,Eric,NULL,Rothenberg,NULL,0,NULL,b092cc40-ca0c-40ab-9985-ae7ed3bab323,2013-09-27 00:00:00.000,1968-10-07 00:00:00.000,S,83447,F,2,"Bachelors ",Skilled Manual,0,1
1706,IN,0,Mr.,Michael,L.,Rothkugel,NULL,0,NULL,b7233f81-dcc3-464b-be5e-7b12739a9219,2014-06-15 00:00:00.000,1979-04-12 00:00:00.000,M,36756,M,0,Partial College,Manual,1,1
1707,IN,0,Mr.,Pablo,NULL,Rovira Diez,NULL,0,NULL,875df377-fa16-43fb-84b9-90cae5cf68d9,2013-07-11 00:00:00.000,1963-02-23 00:00:00.000,S,80189,M,0,"Bachelors ",Professional,0,1
1708,IN,0,Ms.,Linda,R.,Rousey,NULL,1,NULL,9673740a-0663-4565-aa82-4118434ab05d,2014-01-01 00:00:00.000,1947-04-07 00:00:00.000,M,37167,F,2,Partial High School,Clerical,1,2
1709,IN,0,Mr.,Luke,J.,Roy,NULL,2,NULL,04691ed4-40c9-49d8-8d65-35c117001bc0,2014-04-17 00:00:00.000,1963-09-03 00:00:00.000,S,95512,M,0,Partial College,Professional,1,2
1710,IN,0,Ms.,Lisa,K.,Roy,NULL,0,NULL,f74b551d-adfc-4409-8a24-bc76a7912cc6,2012-07-11 00:00:00.000,1957-10-19 00:00:00.000,S,67824,M,2,High School,Professional,0,2
1711,IN,0,Mr.,Michael,NULL,Ruggiero,NULL,0,NULL,31bae462-48c2-4c47-90f2-5b9d6de93b8b,2014-02-09 00:00:00.000,1947-11-14 00:00:00.000,M,99718,M,5,Partial High School,Skilled Manual,1,2
1712,IN,0,Ms.,Pearlie,J.,Rusek,NULL,2,NULL,2e6b597c-17c5-4532-a014-e6d01ba544b1,2012-08-02 00:00:00.000,1969-02-17 00:00:00.000,S,103461,F,1,Graduate Degree,Management,1,0
1713,IN,0,Ms.,Andrea,NULL,Rusko,NULL,0,NULL,42187190-b992-48e6-8070-a340b379f1c3,2013-11-28 00:00:00.000,1962-09-09 00:00:00.000,S,28338,F,1,Graduate Degree,Clerical,0,0
1714,IN,0,Mr.,Andy,NULL,Ruth,NULL,2,NULL,0a3f1008-c760-4a47-821d-394d6a7fc9d5,2014-06-18 00:00:00.000,1976-04-26 00:00:00.000,S,58366,F,0,Partial College,Clerical,1,1
1715,IN,0,Ms.,Justine,J.,Ryan,NULL,2,NULL,de34f750-1357-4063-82c4-d0edd9711156,2013-12-07 00:00:00.000,1947-11-11 00:00:00.000,S,56700,F,2,Partial College,Clerical,0,2
1716,IN,0,Ms.,Deanna,N.,Sabella,NULL,0,NULL,8dc8092c-fe40-4ec9-ac72-1be3b2d5dcc5,2014-05-01 00:00:00.000,1955-12-04 00:00:00.000,M,101425,M,3,Partial College,Professional,1,3
1717,IN,0,Mr.,Lane,NULL,Sacksteder,NULL,2,NULL,9ab9f62f-a6d6-48e4-862d-31a154eac865,2014-03-02 00:00:00.000,1980-10-16 00:00:00.000,S,32377,F,0,Partial High School,Manual,0,2
1718,IN,0,Mr.,Peter,NULL,Saddow,NULL,2,NULL,7e72ae20-43a4-4415-9186-1af37fd0f3d7,2014-03-23 00:00:00.000,1965-09-16 00:00:00.000,M,35312,F,4,Partial High School,Manual,1,2
1719,IN,0,Ms.,Sharon,NULL,Salavaria,NULL,1,NULL,7cc94f7f-4e3d-46d7-b83b-d30cfa120f20,2012-03-15 00:00:00.000,1956-02-17 00:00:00.000,S,68427,M,2,High School,Skilled Manual,0,2
1720,IN,0,Mr.,Irving,W,Schmidt,NULL,2,NULL,24ca63d5-483c-4599-b78c-88d43aa4b86e,2012-07-09 00:00:00.000,1976-03-04 00:00:00.000,S,85916,M,0,"Bachelors ",Professional,0,3
1721,IN,0,Mr.,Raymond,NULL,Sam,NULL,1,NULL,fce9ef94-187f-4dd0-9a2e-150f7f38e819,2013-09-10 00:00:00.000,1972-02-03 00:00:00.000,S,39467,M,0,High School,Manual,1,1
1722,IN,0,NULL,Mandar,NULL,Samant,NULL,0,NULL,6f123b92-ff1e-4f18-a054-f1477d965b36,2013-04-08 00:00:00.000,1974-09-18 00:00:00.000,S,21242,F,0,Partial High School,Manual,0,2
1723,IN,0,Mr.,John,J,Sandstone,NULL,0,NULL,2f8c2b76-5022-4385-8d03-7974b12aabd8,2013-12-08 00:00:00.000,1969-10-02 00:00:00.000,S,54535,F,2,"Bachelors ",Skilled Manual,1,0
1724,IN,0,Ms.,Madalena,J.,Sanchez,NULL,0,NULL,0d7cf5c0-5ec7-4a86-91e1-c2f2cbafda79,2012-09-01 00:00:00.000,1945-05-10 00:00:00.000,M,23170,M,2,Partial High School,Clerical,1,2
1725,IN,0,Mr.,Thomas,T.,Sanchez,Jr.,0,NULL,c3d0faa0-190b-480f-9e38-cbaf6c9c5619,2013-12-26 00:00:00.000,1947-05-01 00:00:00.000,M,76409,M,5,"Bachelors ",Management,1,3
1726,IN,0,Mr.,Ken,NULL,Sánchez,NULL,0,NULL,029fb95e-f6b6-410a-a889-03fa0e4e7b45,2014-01-06 00:00:00.000,1941-09-28 00:00:00.000,M,34761,F,2,Partial College,Manual,1,1
1727,IN,0,Mr.,Mikael,NULL,Sandberg,NULL,2,NULL,3a9f26a9-4813-4fc6-97c9-36f5d733aadb,2013-11-23 00:00:00.000,1951-06-26 00:00:00.000,S,14445,F,3,High School,Manual,1,2
1728,IN,0,Ms.,Mary,R.,Sandidge,NULL,0,NULL,f2b53710-b438-4db0-a993-eabadd5867f1,2013-12-23 00:00:00.000,1951-01-14 00:00:00.000,M,39023,M,3,High School,Skilled Manual,0,2
1729,IN,0,Mr.,Patrick,NULL,Sands,NULL,0,NULL,239441dc-86c2-4875-8ded-df1033948762,2013-01-16 00:00:00.000,1964-08-08 00:00:00.000,S,68240,F,0,"Bachelors ",Professional,0,1
